Category,Item,Price
Exterior Wraps,Full Vehicle Wrap,3500
Exterior Wraps,Partial Wrap (Hood & Roof),1800
Exterior Wraps,Vinyl Stripe Kit,800
Exterior Wraps,Matte Black Roof Wrap,650
Exterior Wraps,Chrome Delete Package,950
Lighting,LED Light Bar - Front,600
Lighting,LED Underglow Kit,400
Lighting,Auxiliary Spotlights (Pair),350
Lighting,Interior LED Conversion,250
Lighting,Rear Work Light Bar,480
Wheels & Tires,Custom Alloy Wheels (Set of 4),1200
Wheels & Tires,All-Terrain Tires (Set of 4),900
Wheels & Tires,Chrome Rims (Set of 4),1500
Wheels & Tires,Wheel Spacers,180
Wheels & Tires,Locking Lug Nuts,120
Interior,Custom Leather Seat Covers,450
Interior,Dashboard Wrap,300
Interior,Custom Floor Mats,200
Interior,Overhead Console Organizer,550
Interior,Cargo Partition,380
Performance,Cold Air Intake,380
Performance,Cat-Back Exhaust Upgrade,750
Performance,Suspension Lift Kit,1400
Performance,Performance Tune,600
Performance,Heavy-Duty Skid Plates,520
Branding,Door Decals,150
Branding,Rear Window Graphic,280
Branding,Full Business Livery,2200
Branding,Magnetic Door Signs (Pair),180
Branding,Roof Rack Lettering,320
